Film;Kanał;Komentarz;Temat;Sentyment;Emocjonalność (0.0-1.0);Typ Wypowiedzi;Główny Tag;Link
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;BOYS & GIRLS. IT'S TOMES + LEARNING POINTS. OK?;Ekonomia;neutralny;0.4;Humor/Spam;tomy i punkty;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;correct me if im wrong this was just to be able to gather everything in the game. ofc 350m isnt gonig to get you 100/100 spec in each catagory lmao.;Ekonomia;neutralny;0.3;Krytyka/Problem;koszt specjalizacji;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Faz mt aimda;Ekonomia;neutralny;0.2;Humor/Spam;nieznany kontekst;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;thats why the game sucks.;Ekonomia;negatywny;0.8;Krytyka/Problem;gra ssie;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Not worth , 350m for specing its a bull shit bro i can spec this in black zone ez you just need learning point lol;Ekonomia;negatywny;0.8;Krytyka/Problem;drogie specy;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;you basicaly can gather everything up to T8 , and you are still gonna be slower than me , just becouse i have spec, i know people that are 100 in everything and all tiers , you won't even be able to gather 1 they will gather full plentiful of some T8 resource;Ekonomia;negatywny;0.6;Krytyka/Problem;wolne zbieranie;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Я вкачал 3 ветки из 6 на 8 тир и теперь остался камень руда и рыба;Ekonomia;neutralny;0.3;Krytyka/Problem;postęp w grze;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Ujum 400 m for this ... Fk u;Ekonomia;negatywny;0.9;Krytyka/Problem;zmarnowane srebrniki;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;You know the point of these is kinda to make money bro. Had you levelled it naturally you’d have made that money and kept your own…;Ekonomia;negatywny;0.6;Krytyka/Problem;strata pieniędzy;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;350m not bad btw;Ekonomia;pozytywny;0.3;Pochwała;dobra cena;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;All that just for 1 spec😂;Ekonomia;negatywny;0.7;Krytyka/Problem;mała specjalizacja;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;But they are only level 1 spec;Ekonomia;negatywny;0.5;Krytyka/Problem;niski poziom;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Plot twist he’s actually popping fame tomes and using Photoshop lol;Ekonomia;neutralny;0.5;Humor/Spam;fake fame tomes;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;ok, comienza tu esclavitud;Ekonomia;negatywny;0.6;Krytyka/Problem;growa niewolnictwo;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;QUERIA EU TER TANTA PRATA;Ekonomia;pozytywny;0.6;Pochwała;chcę tyle srebru;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;O sea que literalmente te cuesta 350M tener todas las herramientas al T8 :|  Que desperdicio de silver;Ekonomia;negatywny;0.7;Krytyka/Problem;marnotrawstwo srebra;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;For this mf to get a t8 resource he's gonna be mining for 10minutes at lvl1 😂;Ekonomia;negatywny;0.7;Krytyka/Problem;wolne kopanie;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;350mil down the drain;Ekonomia;negatywny;0.8;Krytyka/Problem;wywalone w błoto;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;500m silver 100$ 😃😃😃;Ekonomia;neutralny;0.4;Krytyka/Problem;cena srebra realia;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Just lv 1 😂;Ekonomia;negatywny;0.6;Krytyka/Problem;tylko pierwszy poziom;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Ter t8 é fácil quero ver por tudo 100/100 😂😂😂;Ekonomia;neutralny;0.6;Humor/Spam;kosztowny crafting t8;https://www.youtube.com/watch?v=Tft7nI6wJD8
